t,screen,left_node,left_raw_cm,left_filtered_cm,left_rejected,centre_node,centre_raw_cm,centre_filtered_cm,centre_rejected,right_node,right_raw_cm,right_filtered_cm,right_rejected,active_sensor,active_cm,status,held,bad_readings,grid_x,grid_y,raw_grid_x,raw_grid_y,calibrated,alert_cm,max_cm
7303,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7375,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7378,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7417,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7426,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7444,game,3,,243.36,0,1,,,21,2,105.95,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7465,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7496,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7552,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7555,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7558,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7603,game,3,172.13,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7607,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7609,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7658,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7660,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7703,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7706,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7708,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7761,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7765,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7803,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7807,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7816,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7861,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7865,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7918,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7925,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7928,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7970,game,3,,243.36,0,1,126.69,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7974,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
7982,game,3,,243.36,0,1,,,21,2,244.22,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8036,game,3,,243.36,0,1,,,21,2,71.62,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8080,game,3,,243.36,0,1,,,21,2,71.62,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8144,game,3,,243.36,0,1,,,21,2,71.62,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8173,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8412,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8416,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8419,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8455,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8457,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
8493,game,3,,243.36,0,1,,,21,2,,,0,left,243.36,ok,1,25,2,1,,,1,10,150
